CustomerID,Recency,RecencyCluster,Frequency,FrequencyCluster,Revenue,RevenueCluster,OverallScore
17850.0,341,0,297,1,5391.210000000009,0,1
15808.0,275,0,195,1,3651.270000000002,0,1
16928.0,49,3,204,1,2814.699999999998,0,4
15752.0,8,3,405,1,2626.600000000002,0,4
14449.0,33,3,204,1,698.4699999999997,0,4
17961.0,0,3,245,1,1279.790000000001,0,4
14800.0,16,3,383,1,4331.789999999999,0,4
15708.0,9,3,273,1,3235.2499999999977,0,4
14810.0,9,3,254,1,2085.329999999999,0,4
17965.0,6,3,325,1,2599.1899999999982,0,4
15301.0,19,3,242,1,5049.949999999999,0,4
15356.0,0,3,499,1,2718.0299999999993,0,4
18077.0,2,3,200,1,2329.0700000000006,0,4
13842.0,27,3,206,1,3385.619999999999,0,4
16081.0,25,3,223,1,2799.420000000001,0,4
17975.0,32,3,266,1,4235.640000000001,0,4
17894.0,40,3,192,1,1118.9600000000003,0,4
18116.0,36,3,371,1,1403.1100000000013,0,4
17372.0,9,3,251,1,1337.1800000000012,0,4
15998.0,5,3,504,1,3080.219999999999,0,4
14498.0,11,3,193,1,1957.3200000000004,0,4
14524.0,0,3,197,1,1843.830000000001,0,4
16556.0,35,3,207,1,3313.79,0,4
13124.0,58,3,222,1,3756.329999999998,0,4
16686.0,16,3,544,1,2959.879999999999,0,4
14099.0,12,3,235,1,2890.370000000001,0,4
14462.0,35,3,233,1,1980.5700000000004,0,4
14221.0,11,3,193,1,3432.7999999999993,0,4
16771.0,2,3,254,1,2242.6100000000015,0,4
18226.0,13,3,242,1,5228.050000000004,0,4
15719.0,1,3,931,1,5030.069999999997,0,4
17634.0,5,3,296,1,2358.590000000004,0,4
13764.0,39,3,207,1,1519.42,0,4
17284.0,29,3,291,1,1647.480000000002,0,4
15059.0,9,3,237,1,1337.7200000000007,0,4
15518.0,33,3,210,1,1921.550000000001,0,4
14040.0,9,3,229,1,3560.3199999999997,0,4
14978.0,41,3,214,1,1921.3700000000026,0,4
16395.0,29,3,206,1,1482.0600000000002,0,4
18069.0,57,3,373,1,1761.17,0,4
17609.0,9,3,233,1,1105.7800000000004,0,4
13527.0,2,3,217,1,2242.36,0,4
15296.0,19,3,194,1,3672.86,0,4
14572.0,9,3,258,1,2669.4900000000007,0,4
17673.0,35,3,195,1,1482.5000000000018,0,4
16409.0,5,3,231,1,2022.9800000000016,0,4
14659.0,4,3,230,1,2380.5300000000016,0,4
17463.0,18,3,195,1,1677.550000000002,0,4
16110.0,14,3,342,1,1320.9500000000014,0,4
14410.0,61,3,190,1,1100.2699999999986,0,4
13334.0,51,3,265,1,3502.319999999998,0,4
17050.0,65,3,308,1,3185.639999999999,0,4
17571.0,19,3,271,1,1425.6700000000017,0,4
16115.0,9,3,255,1,1511.8700000000008,0,4
16940.0,21,3,305,1,3049.880000000001,0,4
13610.0,23,3,196,1,969.0400000000005,0,4
15676.0,4,3,196,1,3267.84,0,4
15416.0,33,3,192,1,3984.3199999999993,0,4
15834.0,39,3,269,1,2225.1499999999996,0,4
13975.0,0,3,329,1,2461.2399999999993,0,4
14730.0,34,3,398,1,1669.3800000000035,0,4
15493.0,1,3,289,1,1953.4100000000049,0,4
16728.0,15,3,263,1,1048.2799999999997,0,4
17719.0,6,3,274,1,5396.040000000004,0,4
15756.0,30,3,191,1,528.0099999999995,0,4
14535.0,29,3,328,1,2854.840000000005,0,4
17160.0,0,3,229,1,3518.0299999999993,0,4
17589.0,29,3,253,1,2404.170000000001,0,4
16348.0,1,3,222,1,1415.6500000000005,0,4
15436.0,16,3,218,1,836.5499999999996,0,4
16370.0,51,3,221,1,1301.9100000000003,0,4
16121.0,26,3,204,1,854.6599999999996,0,4
16007.0,16,3,381,1,1693.8099999999981,0,4
16813.0,19,3,408,1,1503.6400000000003,0,4
18204.0,40,3,192,1,1975.35,0,4
15453.0,4,3,249,1,1236.4900000000002,0,4
14808.0,8,3,231,1,2718.599999999997,0,4
16984.0,57,3,400,1,4459.519999999996,0,4
15786.0,15,3,266,1,4919.000000000004,0,4
14529.0,29,3,213,1,578.6099999999999,0,4
15707.0,4,3,205,1,916.9800000000001,0,4
16049.0,9,3,299,1,1074.8099999999995,0,4
17813.0,7,3,315,1,1495.6000000000015,0,4
15427.0,2,3,292,1,1430.5399999999997,0,4
14573.0,148,2,227,1,1639.8200000000015,0,3
16919.0,125,2,326,1,2592.2499999999995,0,3
16550.0,77,2,251,1,2298.9699999999984,0,3
17126.0,121,2,248,1,989.4499999999997,0,3
15379.0,138,2,194,1,3703.2899999999995,0,3
13869.0,92,2,304,1,3083.6500000000037,0,3
14472.0,72,2,265,1,1852.6700000000012,0,3
17400.0,95,2,206,1,2097.8400000000015,0,3
17585.0,78,2,208,1,1116.6800000000005,0,3
14587.0,153,2,351,1,1452.68,0,3
17337.0,120,2,521,1,1981.0600000000031,0,3
15644.0,135,2,232,1,803.5399999999997,0,3
14583.0,113,2,213,1,741.7200000000003,0,3
15100.0,302,0,3,0,876.0,0,0
18074.0,342,0,13,0,489.6,0,0
13747.0,342,0,1,0,79.6,0,0
17908.0,342,0,54,0,232.02999999999992,0,0
13255.0,342,0,6,0,225.7,0,0
16583.0,342,0,14,0,233.45000000000002,0,0
18085.0,299,0,29,0,689.95,0,0
17968.0,342,0,81,0,265.09999999999997,0,0
14729.0,342,0,71,0,313.48999999999995,0,0
14237.0,342,0,9,0,161.00000000000003,0,0
15350.0,342,0,5,0,115.65,0,0
15922.0,342,0,11,0,369.50000000000006,0,0
14594.0,342,0,31,0,254.99999999999997,0,0
15165.0,342,0,27,0,487.75,0,0
17643.0,342,0,8,0,101.55000000000001,0,0
17760.0,342,0,9,0,172.54,0,0
16048.0,342,0,8,0,256.44000000000005,0,0
16274.0,342,0,65,0,351.7499999999999,0,0
14496.0,280,0,19,0,538.8100000000001,0,0
14142.0,342,0,22,0,311.81000000000006,0,0
13065.0,342,0,14,0,205.85999999999999,0,0
18011.0,342,0,28,0,102.79,0,0
17732.0,341,0,18,0,303.97,0,0
12855.0,341,0,3,0,38.1,0,0
17855.0,341,0,17,0,208.96999999999997,0,0
17925.0,341,0,1,0,244.08,0,0
13108.0,341,0,10,0,350.05999999999995,0,0
15070.0,341,0,1,0,106.2,0,0
16546.0,259,0,25,0,787.15,0,0
15923.0,341,0,21,0,127.08000000000003,0,0
16752.0,341,0,9,0,207.5,0,0
15363.0,341,0,16,0,326.0,0,0
17235.0,341,0,10,0,341.9,0,0
16510.0,341,0,13,0,248.10000000000002,0,0
15107.0,280,0,17,0,319.5,0,0
17976.0,341,0,57,0,321.7899999999999,0,0
16781.0,341,0,17,0,311.24999999999994,0,0
15823.0,341,0,1,0,15.0,0,0
13011.0,341,0,3,0,50.550000000000004,0,0
16754.0,341,0,2,0,2002.4,0,0
14576.0,340,0,1,0,35.400000000000006,0,0
14865.0,340,0,3,0,37.2,0,0
12967.0,326,0,19,0,1660.9,0,0
13370.0,340,0,39,0,754.8700000000003,0,0
17967.0,340,0,42,0,112.27000000000001,0,0
14589.0,340,0,3,0,39.75,0,0
17884.0,280,0,91,0,590.5399999999998,0,0
16926.0,340,0,14,0,230.25000000000003,0,0
17198.0,334,0,77,0,521.6600000000001,0,0
16725.0,271,0,145,0,758.2700000000003,0,0
14813.0,338,0,29,0,152.88,0,0
17062.0,282,0,69,0,533.3299999999999,0,0
13506.0,285,0,26,0,458.52000000000004,0,0
15880.0,338,0,96,0,329.0299999999999,0,0
16718.0,338,0,44,0,606.0500000000002,0,0
16411.0,338,0,20,0,128.55,0,0
